asset,optimal_weights
ANSS,0.031253311655718194
ARE,-0.0145150332280334
AVB,0.07488643368598477
BURL,0.011019065981557365
CAT,-0.009764059550216597
CCI,-0.010518595050497005
DTE,-0.11355089185030916
EQR,0.02063394692344141
ETFC,-0.011139375877721727
EXC,-0.01840870754449119
FE,0.22821329156301176
FISV,0.02254605259848491
HAL,-0.012004704655603864
HLT,0.014947542000962962
KMI,0.02373588030284554
LOW,-0.02008493420382731
MDLZ,0.045489796858682416
MDT,0.025274973293012128
MMC,-0.011728395460012872
MNST,-0.011708473000200788
MSI,0.015047395444281141
NEE,-0.03208629380140768
OKE,0.023388920262503426
PLD,-0.04147429958599339
PNC,0.011511279449310333
ROST,0.020740326425057506
TMO,-0.026430210976103666
TSCO,-0.009895883982678898
USB,0.03131178355514612
XEL,-0.05669014123290247
